Timestamp,Temperature (°C),Solar Generation (kWh),Weather Condition
2018-09-11,28.3625,20.87,Sunny
2018-09-12,26.954166666666666,17.68,Partly Cloudy
2018-09-13,27.625,19.84,Sunny
2018-09-14,27.8,19.14,Sunny
2018-09-15,27.691666666666666,17.27,Cloudy
2018-09-16,27.458333333333332,16.26,Partly Sunny
2018-09-17,28.295833333333334,20.25,Sunny
2018-09-18,26.954166666666666,18.77,Sunny
2018-09-19,27.104166666666668,15.18,Partly Cloudy
2018-09-20,27.458333333333332,19.19,Sunny
2018-09-21,27.787499999999998,19.44,Partly Cloudy
2018-09-22,26.816666666666666,16.91,Partly Cloudy
2018-09-23,27.775000000000002,19.56,Partly Cloudy
2018-09-24,27.708333333333332,20.4,Partly Cloudy
2018-09-25,27.599999999999998,18.89,Sunny
2018-09-26,27.458333333333332,19.98,Partly Sunny
2018-09-27,26.974999999999998,15.21,Cloudy
2018-09-28,27.929166666666664,17.49,Partly Sunny
2018-09-29,27.150000000000002,16.86,Partly Cloudy
2018-09-30,27.141666666666666,15.5,Cloudy
2018-10-01,26.712500000000002,16.580000000000002,Cloudy
2018-10-02,27.95,19.15,Partly Sunny
2018-10-03,27.729166666666668,18.27,Partly Sunny
2018-10-04,27.104166666666668,16.48,Partly Cloudy
2018-10-05,27.391666666666666,15.0,Partly Sunny
2018-10-06,27.804166666666664,19.169999999999998,Partly Sunny
2018-10-07,27.27916666666667,15.72,Partly Cloudy
2018-10-08,28.02916666666667,17.93,Sunny
2018-10-09,27.787499999999998,21.07,Sunny
2018-10-10,27.083333333333332,16.95,Sunny
2018-10-11,27.97083333333333,18.74,Sunny
2018-10-12,27.354166666666668,17.740000000000002,Partly Sunny
2018-10-13,28.195833333333336,20.03,Partly Sunny
2018-10-14,27.78333333333333,19.8,Partly Sunny
2018-10-15,27.329166666666666,17.06,Cloudy
2018-10-16,26.95,17.7,Partly Cloudy
2018-10-17,27.454166666666666,18.57,Partly Sunny
2018-10-18,27.745833333333334,19.24,Sunny
2018-10-19,27.304166666666664,18.94,Cloudy
2018-10-20,27.583333333333332,18.91,Sunny
2018-10-21,27.3,17.14,Partly Sunny
2018-10-22,27.825,19.39,Sunny
2018-10-23,28.03333333333333,18.35,Partly Cloudy
2018-10-24,27.116666666666664,17.37,Cloudy
2018-10-25,27.583333333333332,18.34,Sunny
2018-10-26,26.766666666666666,15.86,Partly Cloudy
2018-10-27,27.745833333333334,16.169999999999998,Partly Sunny
2018-10-28,27.879166666666666,16.93,Partly Sunny
2018-10-29,27.066666666666666,18.25,Sunny
2018-10-30,27.416666666666668,17.39,Sunny
2018-10-31,27.96666666666667,19.19,Sunny
2018-11-01,26.816666666666666,12.29,Cloudy
